"Average Semester Undergraduate  Grade Point Averages University of  Wisconsin -  Madison
First Semester 2023-2024",,,,,,,,,,
"FRESHMEN       SOPHOMORES         JUNIORS              SENIORS                   TOTAL
Count      GPA      Count      GPA       Count      GPA      Count      GPA         Count         GPA",,,,,,,,,,
Undergraduate  Men and   Women,,,,,,,,,,
Total,5411,3.350,8464,3.403,9709,3.444,11755,3.541,35339,3.451
Men,2368,3.298,3947,3.373,4528,3.384,5749,3.475,16592,3.400
Women,3043,3.391,4517,3.428,5181,3.496,6006,3.603,18747,3.496
Undergraduate  Men and Women by School/College,,,,,,,,,,
Total,5411,3.350,8464,3.403,9709,3.444,11755,3.541,35339,3.451
Agricultural and Life Sciences,403,3.316,632,3.285,882,3.339,1100,3.456,3017,3.366
Business,427,3.352,826,3.408,1083,3.428,1323,3.533,3659,3.452
Education,372,3.452,454,3.505,600,3.673,654,3.711,2080,3.609
Engineering,617,3.228,1173,3.303,1074,3.322,1796,3.516,4660,3.377
Human Ecology,269,3.423,521,3.509,753,3.567,747,3.607,2290,3.550
Letters and Science,3151,3.365,4666,3.424,5097,3.443,5783,3.534,18697,3.452
Nursing,172,3.276,192,3.350,203,3.537,323,3.645,890,3.469
Pharmacy,,,,,17,3.637,29,3.584,46,3.604
Undergraduate  Men by School/College,,,,,,,,,,
Total,2368,3.298,3947,3.373,4528,3.384,5749,3.475,16592,3.400
Agricultural and Life Sciences,115,3.217,164,3.347,266,3.329,353,3.387,898,3.340
Business,239,3.354,470,3.405,594,3.442,722,3.500,2025,3.444
Education,99,3.306,86,3.371,117,3.578,152,3.607,454,3.489
Engineering,449,3.200,827,3.295,805,3.324,1279,3.509,3360,3.367
Human Ecology,56,3.193,136,3.397,239,3.396,256,3.461,687,3.403
Letters and Science,1395,3.332,2237,3.400,2471,3.385,2918,3.456,9021,3.402
Nursing,15,3.371,27,3.171,31,3.481,56,3.575,129,3.433
Pharmacy,,,,,5,,13,3.630,18,3.612
Undergraduate  Women by School/College,,,,,,,,,,
Total,3043,3.391,4517,3.428,5181,3.496,6006,3.603,18747,3.496
Agricultural and Life Sciences,288,3.356,468,3.264,616,3.343,747,3.488,2119,3.377
Business,188,3.351,356,3.412,489,3.410,601,3.575,1634,3.463
Education,273,3.505,368,3.535,483,3.696,502,3.743,1626,3.642
Engineering,168,3.306,346,3.323,269,3.318,517,3.534,1300,3.402
Human Ecology,213,3.484,385,3.546,514,3.642,491,3.680,1603,3.610
Letters and Science,1756,3.391,2429,3.446,2626,3.497,2865,3.610,9676,3.498
Nursing,157,3.266,165,3.378,172,3.547,267,3.660,761,3.475
Pharmacy,,,,,12,3.668,16,3.547,28,3.598
